number,direction,streetName,suffix,unit,city,state,postalCode,house
28112,S,convenience,Road,151166142,Bedford,Kansas,72487,
75477,W,forefoot,Commons,622306756,Quezon,Kansas,73347,
55408,NW,tubifex,Beach,643576119,Bedford,Kansas,41418,
66676,NW,flingers,Lane,283535633,Bedford,Kansas,63232,
65885,S,nieve,Road,951746142,Quezon,Kansas,38829,
20488,SW,pledgees,Lane,987230449,Quezon,Kansas,50120,
11944,NE,izzard,Avenue,141006546,Bedford,Kansas,21464,
51759,NW,tradeswoman,Commons,558130751,Bedford,Kansas,65888,
38869,SW,gratitude,Lane,780392125,Quezon,Kansas,42550,
31850,NE,Sanderson,Vista,159434143,Quezon,Kansas,12946,
97142,SW,tubifex,Estate,133425131,Quezon,Kansas,91116,
9941,NE,tubifex,Beach,618719911,Bedford,Kansas,51194,
16764,S,pledgees,Ridge,923313859,Bedford,Kansas,47228,
34639,NE,convenience,Estate,613489615,Quezon,Kansas,96243,
59048,NW,flingers,Avenue,638995090,Bedford,Kansas,57374,
71377,NW,gratitude,Estate,706729683,Bedford,Kansas,51626,
64187,N,convenience,Avenue,589543735,Quezon,Kansas,56540,
33152,NW,tradeswoman,Gardens,402843364,Quezon,Kansas,96298,
64945,NE,convenience,Avenue,347548684,Quezon,Kansas,81978,
75988,SE,convenience,Place,223804721,Quezon,Kansas,63586,
22713,NE,nieve,Beach,240241720,Bedford,Kansas,19514,
33231,E,tubifex,Ridge,608904540,Bedford,Kansas,10835,
94249,S,gratitude,Street,90140870,Quezon,Kansas,31167,
21246,W,tubifex,Commons,130491417,Bedford,Kansas,87127,
94297,SE,pledgees,Place,155585146,Quezon,Kansas,98487,
69218,S,pledgees,Street,823806792,Quezon,Kansas,28305,
70530,E,nieve,Court,446806151,Bedford,Kansas,47073,
46518,SE,convenience,Road,178083175,Bedford,Kansas,45988,
39308,N,forefoot,Road,105089342,Quezon,Kansas,25388,
52090,NE,convenience,Ridge,950664625,Quezon,Kansas,14902,
4778,S,tubifex,Court,154094711,Quezon,Kansas,89742,
91709,E,tubifex,Lane,411251027,Bedford,Kansas,19639,
32942,SW,Sanderson,Estate,251689634,Bedford,Kansas,21009,
25769,S,nieve,Commons,636312101,Bedford,Kansas,93849,
245,N,izzard,Lane,808980587,Quezon,Kansas,96711,
17847,W,convenience,Lane,140846149,Quezon,Kansas,14955,
97383,S,gratitude,Estate,580198552,Bedford,Kansas,54773,
49343,W,flingers,Gardens,563268695,Bedford,Kansas,68885,
9301,NE,tubifex,Lane,47700529,Bedford,Kansas,72794,
75985,S,tubifex,Place,142936965,Bedford,Kansas,93886,
98664,NE,convenience,Commons,419730614,Quezon,Kansas,32649,
13264,NW,tubifex,Commons,610054954,Quezon,Kansas,63978,
97425,NE,Sanderson,Street,973837557,Quezon,Kansas,61392,
21639,N,izzard,Lane,631003633,Bedford,Kansas,21227,
25279,NE,Sanderson,Ridge,491223816,Bedford,Kansas,25612,
1186,NW,pledgees,Avenue,453495125,Quezon,Kansas,53564,
