title,income,company,education
Word Processing Operator,528871,Alessandra's extraneous Graphologists,JD
Attendant,355884,Sophie's occasional Typewriter Engineers,PHD
Envoy,54328,Dniren's defenseless Line Workers,PHD
Prison Officer,420392,Fancie's usable Farmers,Trade
Acoustic Engineer,918875,Daniele's fitting Tour Guides,PHD
Metal Polisher,303930,Ivy's black-and-white Cargo Operators,JD
Butchery Manager,859564,Alessandra's gummy Rally Drivers,MS
Housing Officer,434669,Renae's aware Beauty Therapists,PHD
Instrument Engineer,125546,Birgitta's thoughtful Health Planners,MS
Verger,447962,Auberta's sociable Parts Supervisors,PHD
